#{"t_start": 1596428249.6267636, "env_id": null}
r,l,t
-10784.943353,100,17.691545
-45393.310668,52,29.73595
-45458.07993,52,40.877068
-11129.812704,100,64.020026
-45414.922494,52,76.014809
-11559.797364,100,98.233089
-11160.16501,100,120.935586
-10873.689379,100,147.710143
-45570.352061,52,161.770471
-11080.662372,100,184.691325
-45357.354975,52,197.294214
-11215.8242,100,220.443617
-11216.16833,100,245.948807
-42333.042113,52,259.487339
-10987.070626,100,283.469757
-11210.909689,100,306.377749
-31037.251892,52,318.747184
-11152.980027,100,341.819651
-11229.335868,100,364.542322
-11350.635738,100,391.699374
-28624.737015,62,405.52587
-11198.228285,100,429.632112
-11174.188337,100,452.868831
-29213.490811,52,465.504442
-10903.748331,100,489.10996
-10647.115343,100,512.872496
-19381.793414,77,530.972228
-28067.709661,62,544.503774
-29119.382443,52,557.772431
-29463.050336,52,570.595116
-10995.550777,100,594.776417
-29150.001366,52,607.453405
-10989.281163,100,631.087758
-29301.925914,52,643.765539
-11084.964024,100,667.636657
-18144.079004,62,681.805373
-11010.566395,100,705.721077
-28847.45231,52,718.184228
-10742.34572,100,741.553376
-29372.889815,78,759.121847
-29064.193278,52,771.780187
-29048.592171,52,784.005446
-27725.8383,62,797.103908
-27981.838862,62,811.260818
-28020.988424,62,825.638581
-11065.409066,100,849.27004
-10923.934105,100,873.117403
-10819.47425,100,893.966044
-28043.689908,62,907.507518
-28560.380528,52,919.588866
-27973.548078,62,933.970778
-27827.980317,62,947.899321
-27874.445963,62,961.706908
